Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 69.0.3497.100,,2018-10-04 15:38:47,2018-10-04 15:40:09,1m - 22.210s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 69.0.3497.100,,2018-10-04 15:38:47,2018-10-04 15:39:12,25.008s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:38:47,2018-10-04 15:38:54,6.578s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 15:38:54,2018-10-04 15:38:55,1.153s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:38:55,2018-10-04 15:39:03,8.187s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:39:03,2018-10-04 15:39:04,0.263s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:39:04,2018-10-04 15:39:04,0.230s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:04,2018-10-04 15:39:08,4.504s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:08,2018-10-04 15:39:09,0.131s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:39:09,2018-10-04 15:39:12,3.060s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:12,2018-10-04 15:39:12,0.494s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/SearchAttribute,Chrome 69.0.3497.100,,2018-10-04 15:39:12,2018-10-04 15:39:32,20.081s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:39:12,2018-10-04 15:39:15,2.598s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 15:39:15,2018-10-04 15:39:16,1.130s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:39:16,2018-10-04 15:39:24,7.831s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:39:24,2018-10-04 15:39:24,0.183s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:39:24,2018-10-04 15:39:24,0.158s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:24,2018-10-04 15:39:28,3.319s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:39:28,2018-10-04 15:39:29,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:29,2018-10-04 15:39:29,0.124s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:39:29,2018-10-04 15:39:32,3.005s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:32,2018-10-04 15:39:32,0.451s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/EditAttribute,Chrome 69.0.3497.100,,2018-10-04 15:39:32,2018-10-04 15:39:53,21.036s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:39:32,2018-10-04 15:39:35,2.631s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 15:39:35,2018-10-04 15:39:36,1.137s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:39:36,2018-10-04 15:39:45,8.421s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:39:45,2018-10-04 15:39:45,0.168s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:39:45,2018-10-04 15:39:45,0.158s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:45,2018-10-04 15:39:49,3.669s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:39:49,2018-10-04 15:39:50,1.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:50,2018-10-04 15:39:50,0.127s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:39:50,2018-10-04 15:39:53,3.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:39:53,2018-10-04 15:39:53,0.464s,FAILED
,,,,,,
Test Cases/VendorAttributeAddon/DeleteAttribute,Chrome 69.0.3497.100,,2018-10-04 15:39:53,2018-10-04 15:40:08,14.909s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:39:53,2018-10-04 15:39:56,2.547s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 15:39:56,2018-10-04 15:39:57,1.126s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:39:57,2018-10-04 15:40:00,3.244s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:40:00,2018-10-04 15:40:01,0.169s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:40:01,2018-10-04 15:40:01,0.163s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:40:01,2018-10-04 15:40:04,2.828s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:40:04,2018-10-04 15:40:05,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:40:05,2018-10-04 15:40:05,0.174s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:40:05,2018-10-04 15:40:08,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:40:08,2018-10-04 15:40:08,0.453s,FAILED
